Event	ID	Name			Wwise Object Path	Notes
	336049027	Fruit_Pluck			\Default Work Unit\Fruit_Pluck	
	362990204	Lasso_Throw			\Default Work Unit\Lasso_Throw	
	487887902	Horse_Neigh_Positive			\Default Work Unit\Horse_Neigh_Positive	
	701459736	Horse_Footsteps			\Default Work Unit\Horse_Footsteps	
	704518912	Dynamite_Activated			\Default Work Unit\Dynamite_Activated	
	998140643	Hog_Sleeping			\Default Work Unit\Hog_Sleeping	
	1130713572	Sign_Off			\Default Work Unit\Sign_Off	
	1288370271	Baby_Fly			\Default Work Unit\Baby_Fly	
	1295442366	Sign_On			\Default Work Unit\Sign_On	
	1367699361	Lasso_Catch			\Default Work Unit\Lasso_Catch	
	1428057472	End_Music			\Default Work Unit\End_Music	
	1466783479	Horse_Jump			\Default Work Unit\Horse_Jump	
	1493740447	Hog_Walk			\Default Work Unit\Hog_Walk	
	1512346300	Dynamite_Explosion			\Default Work Unit\Dynamite_Explosion	
	1539411869	Intro_Music			\Default Work Unit\Intro_Music	
	2322231365	Gameplay_Music			\Default Work Unit\Gameplay_Music	
	2401031616	Lasso_Whirl			\Default Work Unit\Lasso_Whirl	
	2491012383	Rock_Moving			\Default Work Unit\Rock_Moving	
	2513872280	Dynamite_Activated_lvl10			\Default Work Unit\Dynamite_Activated_lvl10	
	2529140474	Hog_Eat			\Default Work Unit\Hog_Eat	
	2678880713	Fire			\Default Work Unit\Fire	
	3018083661	Horse_Neigh_Baby_Sits			\Default Work Unit\Horse_Neigh_Baby_Sits	
	3018450665	SFX_TEST			\Default Work Unit\SFX_TEST	
	3198588461	Horse_Kick			\Default Work Unit\Horse_Kick	
	3236117730	Button_Deactivated			\Default Work Unit\Button_Deactivated	
	3269556576	Baby_Talk_Positive			\Default Work Unit\Baby_Talk_Positive	
	3342570235	Baby_Talk_Throw			\Default Work Unit\Baby_Talk_Throw	
	3399698792	Main_Menu_Music			\Default Work Unit\Main_Menu_Music	
	3746142581	Button_Activated			\Default Work Unit\Button_Activated	
	3944649217	Whip_Tansition			\Default Work Unit\Whip_Tansition	
	4278251541	Level_Finish			\Default Work Unit\Level_Finish	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	18479950	Sign On	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Sign Turn On_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment Objects\End Sign\Sign On\Sign On		22584
	44562895	Baby_Positive	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Baby_Positive_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Baby_Talk_Positive\Baby_Positive		242592
	63415594	Lasso_Catch_2	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Lasso_Catch_2_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Lasso_Catch\Lasso_Catch_2		74640
	67786165	Baby_Fly	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Baby_Fly_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Baby_Fly\Baby_Fly		540860
	75466385	Horse_Neigh_5	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Horse_Neigh_5_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Horse\Horse_Neigh\Horse_Neigh_5		110328
	77716993	Baby_Throw_5	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Baby_Throw_5_98DD08C1.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Baby_Talk_Throw\Baby_Throw_5		57176
	95272385	Lasso_Catch	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Lasso_Catch_B5DC2C2D.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Lasso_Catch\Lasso_Catch		65012
	140461079	Rock Moving	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Rock Moving_FAE079E3.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment Objects\Rock\Rock Moving		9883080
	206783646	Baby_Throw_2	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Baby_Throw_2_3D9906A7.wem		\Actor-Mixer Hierarchy\Default Work Unit\Baby\Baby_Talk_Throw\Baby_Throw_2		106484
	218572268	Button Activated	C:\Users\asher\Documents\Godot Projects\Game Jams\NYNSGJ\Lasso\Wwise\Lasso\.cache\Windows\SFX\Button Activated_818F3B66.wem		\Actor-Mixer Hierarchy\Default Work Unit\Environment Objects\Button\Button Activated		48336
